"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",47769.668125,"E"
"AUT","GDP","TOT","USD_CAP","A","2016",50124.976865,
"BEL","GDP","TOT","USD_CAP","A","2016",46700.743373,
"CAN","GDP","TOT","USD_CAP","A","2016",44025.181553,
"CZE","GDP","TOT","USD_CAP","A","2016",35127.440288,
"DNK","GDP","TOT","USD_CAP","A","2016",49810.325313,
"FIN","GDP","TOT","USD_CAP","A","2016",43363.48175,
"FRA","GDP","TOT","USD_CAP","A","2016",41489.897831,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",48989.491734,
"GRC","GDP","TOT","USD_CAP","A","2016",26691.120063,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",26689.048371,
"ISL","GDP","TOT","USD_CAP","A","2016",51122.400673,
"IRL","GDP","TOT","USD_CAP","A","2016",72772.024226,
"ITA","GDP","TOT","USD_CAP","A","2016",38146.85783,
"JPN","GDP","TOT","USD_CAP","A","2016",41534.124674,"E"
"KOR","GDP","TOT","USD_CAP","A","2016",35750.565576,"P"
"LUX","GDP","TOT","USD_CAP","A","2016",105767.805206,
"MEX","GDP","TOT","USD_CAP","A","2016",18582.80018,"E"
"NLD","GDP","TOT","USD_CAP","A","2016",51284.583118,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",38832.777893,"E"
"NOR","GDP","TOT","USD_CAP","A","2016",59349.980371,
"POL","GDP","TOT","USD_CAP","A","2016",27463.870115,"E"
"PRT","GDP","TOT","USD_CAP","A","2016",30621.555008,"E"
"SVK","GDP","TOT","USD_CAP","A","2016",30619.013745,"E"
"ESP","GDP","TOT","USD_CAP","A","2016",36443.185539,"P"
"SWE","GDP","TOT","USD_CAP","A","2016",49409.773892,
"CHE","GDP","TOT","USD_CAP","A","2016",62894.803342,"P"
"TUR","GDP","TOT","USD_CAP","A","2016",24635.962439,"E"
"GBR","GDP","TOT","USD_CAP","A","2016",42651.342488,
"USA","GDP","TOT","USD_CAP","A","2016",57591.197652,
"CHL","GDP","TOT","USD_CAP","A","2016",23477.543752,"E"
"COL","GDP","TOT","USD_CAP","A","2016",14129.60042,"E"
"EST","GDP","TOT","USD_CAP","A","2016",29633.140771,
"ISR","GDP","TOT","USD_CAP","A","2016",37915.094645,"E"
"RUS","GDP","TOT","USD_CAP","A","2016",23224.676643,"E"
"SVN","GDP","TOT","USD_CAP","A","2016",33424.740618,
"ZAF","GDP","TOT","USD_CAP","A","2016",13229.180377,"E"
"EU28","GDP","TOT","USD_CAP","A","2016",39632.296664,
"OECD","GDP","TOT","USD_CAP","A","2016",42021.174203,"E"
"OECDE","GDP","TOT","USD_CAP","A","2016",39187.298549,"E"
"LVA","GDP","TOT","USD_CAP","A","2016",25933.705283,
"BRA","GDP","TOT","USD_CAP","A","2016",15243.039154,"E"
"LTU","GDP","TOT","USD_CAP","A","2016",29896.754506,
"SAU","GDP","TOT","USD_CAP","A","2016",54509.178615,
"EA19","GDP","TOT","USD_CAP","A","2016",42074.391836,
"ARG","GDP","TOT","USD_CAP","A","2016",20451.757609,"E"
"BGR","GDP","TOT","USD_CAP","A","2016",19057.779758,"P"
"HRV","GDP","TOT","USD_CAP","A","2016",23642.488543,
"CYP","GDP","TOT","USD_CAP","A","2016",32306.937158,"P"
"MLT","GDP","TOT","USD_CAP","A","2016",37781.55475,
"ROU","GDP","TOT","USD_CAP","A","2016",23406.330362,"P"
